stack,nb_occurences,hunspell_bo
་,143328982,1
ས,26699845,1
ད,19437234,1
ག,18863268,1
།,17845039,1
བ,17735832,1
ང,16298155,1
ན,16101558,1
པ,15385160,1
མ,13413565,1
ར,11677544,1
ལ,9410488,1
འ,8387537,1
འི,6264400,1
དེ,3451605,1
དུ,2897133,1
བྱ,2412949,1
ཀྱི,2376178,1
ནི,2301007,1
ཞི,1941476,1
སུ,1900512,1
པོ,1882372,1
ཡི,1861707,1
ཉི,1829877,1
རྣ,1828423,1
སོ,1681746,1
འོ,1623495,1
ཡ,1618541,1
མེ,1590319,1
མི,1569799,1
གྱི,1499636,1
ཅ,1495555,1
དོ,1481716,1
ཞེ,1431292,1
རྒྱ,1387313,1
ཐ,1365189,1
ཤེ,1260561,1
གི,1136923,1
བུ,1112690,1
༔,1110502,1
ཆོ,1088883,1
ཅི,1083095,1
ཕྱི,1060251,1
སེ,1051471,1
ལྟ,1034231,1
ཆེ,1031861,1
རི,1007244,1
གྱུ,993868,1
ཏེ,926775,1
ཡོ,905266,1
དི,880229,1
བྱེ,866161,1
ཁ,808243,1
ཏུ,799171,1
ཚ,787098,1
ངོ,777379,1
སྟེ,742492,1
ཐོ,734208,1
རྗེ,704832,1
སྟོ,702957,1
ཞ,700985,1
བོ,659567,1
རོ,659001,1
ཁོ,655462,1
མོ,653353,1
སྐྱེ,640848,1
གོ,635476,1
ཚོ,616395,1
ཀ,568834,1
ཆུ,566189,1
ཆ,562424,1
ལྡ,557065,1
ནོ,551894,1
ཐུ,540030,1
ཏ,534362,1
བྱུ,530906,1
ལྷ,525841,1
ཟ,510760,1
རྒྱུ,507175,1
གྲོ,503436,1
ཤི,494370,1
བྲ,486888,1
ལོ,485115,1
ཇི,484660,1
གེ,472471,1
ཤ,464922,1
ཕ,463835,1
ཀྱ,459191,1
ཀུ,441697,1
སྐུ,421071,1
སྟ,409725,1
ཡེ,409559,1
སྣ,404137,1
སྔ,400461,1
ལུ,394557,1
ཉ,389835,1
ཟུ,382570,1
ཡུ,375604,1
སྐ,371945,1
ཏོ,370577,1
ཅོ,370478,1
གྲུ,368614,1
རྡོ,358245,1
ཞུ,344783,1
དྲ,331410,1
བྱི,329172,1
ཛི,323888,1
སྒོ,323699,1
རྟ,323594,1
བླ,321853,1
ཕྱ,314757,1
ཚུ,311497,1
རྟེ,306384,1
ཅུ,305595,1
རྟོ,305586,1
ཚེ,303394,1
ལེ,300040,1
ཉེ,293256,1
ཙ,284666,1
རེ,276819,1
གྲ,274343,1
རུ,270227,1
ཅེ,266349,1
རྫོ,266041,1
དྲུ,264511,1
རྩ,257194,1
ཚི,257003,1
ཛ,256891,1
གུ,255295,1
སྤྱོ,252265,1
སྡུ,251100,1
སྒྲུ,250263,1
ལྔ,248795,1
སློ,235475,1
ཏི,233991,1
ཿ,220735,0
ངེ,218640,1
སྙི,217358,1
ཕུ,216559,1
ཁྱ,210658,1
སྲི,202291,1
རྗོ,200147,1
བྱོ,193652,1
ཕྱོ,192606,1
ཁྱེ,186222,1
ཨ,184006,1
ཇུ,182243,1
དྲི,179226,1
ཟླ,177414,1
ཧཱུྃ,175604,0
ནུ,172760,1
སྦྱོ,166544,1
ཁྲི,158179,1
ཟེ,156641,1
ཆི,152354,1
ཨོཾ,150641,0
སྔོ,149544,1
སྨྲ,147693,1
སྒྲ,147065,1
སྦྱི,144643,1
ཕྲ,137235,1
སྙ,135797,1
ཟི,133981,1
སྦྱ,133867,1
སླ,133073,1
སྐྱོ,130814,1
མུ,130732,1
ཁྲུ,129457,1
ཐི,126311,1
ཐེ,119025,1
སྤ,118642,1
བློ,116250,1
སྨོ,114839,1
སྐོ,113123,1
ཁྲོ,112226,1
སྤྱ,109427,1
སྲུ,108452,1
ཉོ,108277,1
མྱ,108219,1
རྩེ,107654,1
རྩི,107127,1
སྒྱུ,105245,1
ཁྱོ,103640,1
༑,102815,1
རྩོ,102554,1
དྨ,101308,1
རླ,100971,1
འུ,100912,1
དྲེ,98897,1
ཕོ,97464,1
ཀོ,96714,1
ཙུ,96058,1
སྤྱི,95642,1
པེ,95532,1
ཧཱ,94408,0
རྐྱེ,93400,1
ཤོ,93091,1
སྙེ,91736,1
རླུ,90472,1
སྤྲུ,89138,1
ཨཱ,89079,1
སྲོ,88742,1
མྱི,88315,1
བྲེ,87519,1
ཟོ,86848,1
སྡེ,86577,1
སྨ,85538,1
བྲི,84881,1
ཕྱེ,84644,1
སྒྲི,80118,1
སྒྲོ,79481,1
ཤུ,77667,1
ཛྲ,77213,0
སྤོ,77055,1
༅,76483,1
སྤྲོ,76306,1
ཧ,74729,1
ཙོ,74288,1
